id,chapter,name,heading,concept
"822","8500","CONVENIOS","853","Otros convenios"
"823","9000","DEUDA PÚBLICA","",""
"824","9100","AMORTIZACION DE LA DEUDA PÚBLICA","",""
"825","9100","AMORTIZACION DE LA DEUDA PÚBLICA","911","Amortización de la deuda interna con instituciones de crédito"
"826","9100","AMORTIZACION DE LA DEUDA PÚBLICA","912","Amortización de la deuda interna por emisión de títulos y valores"
"827","9100","AMORTIZACION DE LA DEUDA PÚBLICA","913","Amortización de arrendamientos financieros nacionales"
"828","9100","AMORTIZACION DE LA DEUDA PÚBLICA","914","Amortización de la deuda externa con instituciones de crédito"
"829","9100","AMORTIZACION DE LA DEUDA PÚBLICA","915","Amortización de deuda externa con organismos financieros internacionales"
"830","9100","AMORTIZACION DE LA DEUDA PÚBLICA","916","Amortización de la deuda bilateral"
"831","9100","AMORTIZACION DE LA DEUDA PÚBLICA","917","Amortización de la deuda externa por emisión de títulos y valores"
"832","9100","AMORTIZACION DE LA DEUDA PÚBLICA","918","Amortización de arrendamientos financieros internacionales"
"833","9200","INTERESES DE LA DEUDA PÚBLICA","",""
"834","9200","INTERESES DE LA DEUDA PÚBLICA","921","Intereses de la deuda interna con instituciones de crédito"
"835","9200","INTERESES DE LA DEUDA PÚBLICA","922","Intereses derivados de la colocación de títulos y valores"
"836","9200","INTERESES DE LA DEUDA PÚBLICA","923","Intereses por arrendamientos financieros nacionales"
"837","9200","INTERESES DE LA DEUDA PÚBLICA","924","Intereses de la deuda externa con instituciones de crédito"
"838","9200","INTERESES DE LA DEUDA PÚBLICA","925","Intereses de la deuda con organismos financieros Internacionales"
"839","9200","INTERESES DE LA DEUDA PÚBLICA","926","Intereses de la deuda bilateral"
"840","9200","INTERESES DE LA DEUDA PÚBLICA","927","Intereses derivados de la colocación de títulos y valores en el exterior"
"841","9200","INTERESES DE LA DEUDA PÚBLICA","928","Intereses por arrendamientos financieros internacionales"
"842","9300","COMISIONES DE LA DEUDA PÚBLICA","",""
"843","9300","COMISIONES DE LA DEUDA PÚBLICA","931","Comisiones de la deuda pública interna"
"844","9300","COMISIONES DE LA DEUDA PÚBLICA","932","Comisiones de la deuda pública externa"
"845","9400","GASTOS DE LA DEUDA PÚBLICA","",""
"846","9400","GASTOS DE LA DEUDA PÚBLICA","941","Gastos de la deuda pública interna"
"847","9400","GASTOS DE LA DEUDA PÚBLICA","942","Gastos de la deuda pública externa"
"848","9500","COSTO POR COBERTURAS","",""
"849","9500","COSTO POR COBERTURAS","951","Costos por coberturas"
"850","9600","APOYOS FINANCIEROS","",""
"851","9600","APOYOS FINANCIEROS","961","Apoyos a intermediarios financieros"
"852","9600","APOYOS FINANCIEROS","962","Apoyos a ahorradores y deudores del Sistema Financiero Nacional"
"853","9900","ADEUDOS DE EJERCICIOS FISCALES ANTERIORES (ADEFAS)","",""
"854","9900","ADEUDOS DE EJERCICIOS FISCALES ANTERIORES (ADEFAS)","991","ADEFAS"
